dell_productname,dell_ratings,dell_price
DELL Vostro Core i5 11th Gen,4.1,54990.00
DELL G15 Core i5 10th Gen ,4.3,60990.00
DELL G15 Core i5 10th Gen,4.3,59990.00
DELL Inspiron Core i5 11th Gen,4.5,70856.00
DELL Vostro Core i5 11th Gen ,4.1,59990.00
DELL Inspiron Core i5 11th Gen ,4.5,70850.00
DELL Vostro Core i5 11th Gen ,4.1,59990.00
DELL Inspiron Core i5 11th Gen,4.9,78300.00
DELL Inspiron Core i5 11th Gen ,4.3,51990.00
DELL Inspiron Core i5 10th Gen ,4.3,81299.00
DELL Inspiron Core i5 11th Gen ,4.2,64490.00
DELL Inspiron Core i5 11th Gen,4.5,74990.00
